t_s,ref_rpm,rpm_hil,u_hil,rpm_sim,u_sim
2.29,800.0,799.9999005017931,4.2223,800.0000001168664,4.222300526392148
2.3000000000000003,800.0,799.9999004441403,4.2223,800.0000000876229,4.222300526400289
2.31,800.0,799.9999004001344,4.2223,800.0000000656968,4.222300526406399
2.32,800.0,799.9999003665451,4.2223,800.0000000492578,4.222300526410964
2.33,800.0,799.9999003409063,4.2223,800.000000036932,4.222300526414396
2.34,800.0,799.9999003213362,4.2223,800.0000000276902,4.2223005264169755
2.35,800.0,799.9999003063982,4.2223,800.0000000207617,4.22230052641889
2.36,800.0,799.9999002949954,4.2223,800.000000015566,4.222300526420353
2.37,800.0,799.999900286292,4.2223,800.0000000116707,4.222300526421443
2.38,800.0,799.9999002796491,4.2223,800.0000000087507,4.222300526422245
2.39,800.0,799.9999002745786,4.2223,800.0000000065611,4.222300526422852
2.4,800.0,799.9999002707079,4.2223,800.0000000049188,4.222300526423326
2.41,800.0,799.9999002677534,4.2223,800.0000000036881,4.2223005264236635
2.42,800.0,799.9999002654986,4.2223,800.000000002766,4.222300526423895
2.43,800.0,799.999900263777,4.2223,800.0000000020734,4.222300526424102
2.44,800.0,799.999900262463,4.2223,800.0000000015544,4.2223005264242515
2.45,800.0,799.9999002614601,4.2223,800.0000000011655,4.222300526424358
2.46,800.0,799.9999002606945,4.2223,800.0000000008739,4.222300526424438
2.47,800.0,799.9999002601099,4.2223,800.0000000006554,4.222300526424493
2.48,800.0,799.9999002596638,4.2223,800.0000000004907,4.222300526424563
2.49,800.0,799.9999002593235,4.2223,800.0000000003688,4.222300526424568
2.5,800.0,799.9999002590633,4.2223,800.0000000002765,4.222300526424594
2.5100000000000002,800.0,747.061937078762,5.0974,747.0620368201033,5.0974182577582265
2.52,800.0,735.4775291788173,5.5204,735.4782303228968,5.520406917283154
2.5300000000000002,800.0,750.2975478058652,5.5453,750.298512523505,5.545284952741165
2.54,800.0,767.1899893014707,5.4445,767.1902937685501,5.4445240124028755
2.5500000000000003,800.0,777.0441575221895,5.4013,777.0450457129167,5.401312688876109
2.56,800.0,782.0343201896587,5.421,782.035680893388,5.420916391966138
2.57,800.0,786.0250808411952,5.4344,786.0234251029763,5.434463131185936
2.58,800.0,789.7242411313144,5.4276,789.7242299883379,5.427610706527671
2.59,800.0,792.4648809388078,5.4218,792.4658877964604,5.421756576836486
2.6,800.0,794.2910827977475,5.4231,794.2905083665052,5.423146104590683
2.61,800.0,795.6655868831269,5.4245,795.6662520298815,5.424447932055748
2.62,800.0,796.7745779799267,5.4234,796.773800510657,5.423412771165498
2.63,800.0,797.5989930823023,5.4226,797.5982888436972,5.4226369907332534
2.64,800.0,798.1897648245041,5.4228,798.1906051328878,5.422753893029281
2.65,800.0,798.6386775226506,5.4228,798.6381526761663,5.422799568170494
2.66,800.0,798.9832553963176,5.4226,798.9823577717211,5.422593352672367
2.67,800.0,799.2395342705709,5.4224,799.2386074946103,5.422470322478296
2.68,800.0,799.4262359032526,5.4225,799.4278423555104,5.422459879953578
2.69,800.0,799.5699522997432,5.4224,799.5705662477079,5.422434887392795
2.7,800.0,799.677273803739,5.4224,799.678515635429,5.422388864423016
2.71,800.0,799.7581497836659,5.4224,799.75908235203,5.422362514845726
2.72,800.0,799.8198574624346,5.4223,799.8191877689427,5.422351676430426
2.73,800.0,799.863566592135,5.4224,799.8644056102561,5.422339983161968
2.74,800.0,799.899254680926,5.4223,799.8984011425823,5.4223283802510505
2.75,800.0,799.9241449356693,5.4223,799.9238287100317,5.4223211615742715
2.7600000000000002,800.0,799.9421017746294,5.4223,799.9428658944681,5.422316623633131
2.77,800.0,799.9557832812015,5.4224,799.9571630152651,5.422312631290607
2.7800000000000002,800.0,799.9696175299814,5.4223,799.9678902697747,5.422309379778809
2.79,800.0,799.9778522799876,5.4222,799.9759243043884,5.422307169948354
2.8000000000000003,800.0,799.9797048309915,5.4223,799.9819459950255,5.4223055850064785
2.81,800.0,799.9834188667273,5.4224,799.986464163934,5.4223043108531135
2.82,800.0,799.9906862277605,5.4223,799.989852172961,5.422303337369906
2.83,800.0,799.9939334076255,5.4223,799.9923912105206,5.422302639071218
2.84,800.0,799.995371293659,5.4223,799.9942948526569,5.422302119291031
2.85,800.0,799.9964439105032,5.4223,799.9957225668618,5.422301718192491
2.86,800.0,799.9972620422534,5.4223,799.9967930072895,5.422301417070887
2.87,800.0,799.9978865080204,5.4223,799.9975954450393,5.422301195323519
2.88,800.0,799.9983631624708,5.4223,799.9981971065313,5.4223010288709546
2.89,800.0,799.9987269928592,5.4223,799.9986482640282,5.422300902674899
2.9,800.0,799.9990047046366,5.4223,799.9989865180189,5.422300808239355
2.91,800.0,799.9992166820679,5.4223,799.9992401140854,5.422300737908627
2.92,800.0,799.9993784844661,5.4223,799.9994302577885,5.4223006850739415
2.93,800.0,799.999501988255,5.4223,799.9995728272438,5.422300645302292
2.94,800.0,799.9995962587105,5.4223,799.9996797193484,5.422300615531724
2.95,800.0,799.9996682153607,5.4223,799.999759862122,5.42230059326194
2.96,800.0,799.9997231398798,5.4223,799.9998199516789,5.422300576543324
2.97,800.0,799.9997650637716,5.4223,799.999865005552,5.42230056399202
2.98,800.0,799.9997970642836,5.4223,799.9998987852326,5.422300554590243
2.99,800.0,799.9998214902774,5.4223,799.9999241120687,5.422300547546027
3.0,800.0,799.9998401346414,5.4223,799.9999431015098,5.422300542260997
3.0100000000000002,800.0,799.9998543658869,5.4223,799.999957339266,5.422300538296988
3.02,800.0,799.9998652285987,5.4223,799.9999680142564,5.422300535326225
3.0300000000000002,800.0,799.9998735201074,5.4223,799.9999760180332,5.422300533099234
3.04,800.0,799.9998798490176,5.4223,799.9999820190435,5.422300531429018
3.0500000000000003,800.0,799.9998846798753,5.4223,799.9999865184235,5.422300530176636
3.06,800.0,799.9998883672691,5.4223,799.9999898919173,5.422300529237805
3.0700000000000003,800.0,799.999891181857,5.4223,799.9999924212614,5.422300528533917
3.08,800.0,799.9998933302323,5.4223,799.9999943176884,5.42230052800615
3.09,800.0,799.9998949700878,5.4223,799.999995739575,5.422300527610373
3.1,800.0,799.9998962217898,5.4223,799.999996805661,5.422300527313677
3.11,800.0,799.9998971772138,5.4223,799.9999976049801,5.422300527091233
3.12,800.0,799.9998979064893,5.4223,799.9999982042863,5.42230052692443
3.13,800.0,799.9998984631451,5.4223,799.9999986536275,5.422300526799384
3.14,800.0,799.9998988880402,5.4223,799.9999989905297,5.422300526705641
3.15,800.0,799.9998992123631,5.4223,799.9999992431298,5.422300526635329
3.16,800.0,799.9998994599188,5.4223,799.9999994325215,5.422300526582618
3.17,800.0,799.9998996488785,5.4223,799.9999995745219,5.42230052654309
3.18,800.0,799.9998997931108,5.4223,799.9999996809888,5.4223005265134745
3.19,800.0,799.9998999032033,5.4223,799.9999997608156,5.422300526491237
3.2,800.0,799.9998999872374,5.4223,799.9999998206662,5.422300526474599
3.21,800.0,799.9999000513806,5.4223,799.9999998655406,5.422300526462117
3.22,800.0,799.9999001003405,5.4223,799.9999998991866,5.422300526452747
3.23,800.0,799.9999001377118,5.4223,799.9999999244134,5.422300526445719
3.24,800.0,799.9999001662374,5.4223,799.9999999433276,5.42230052644045
3.25,800.0,799.9999001880109,5.4223,799.9999999575083,5.422300526436517
3.2600000000000002,800.0,799.9999002046309,5.4223,799.9999999681406,5.42230052643357
3.27,800.0,799.9999002173166,5.4223,799.9999999761138,5.422300526431318
3.2800000000000002,800.0,799.9999002269998,5.4223,799.9999999820907,5.422300526429661
3.29,800.0,799.999900234391,5.4223,799.9999999865717,5.42230052642843
3.3000000000000003,800.0,799.9999002400338,5.4223,799.9999999899323,5.4223005264274775
3.31,800.0,799.9999002443403,5.4223,799.9999999924512,5.422300526426789
3.3200000000000003,800.0,799.9999002476268,5.4223,799.9999999943404,5.422300526426254
3.33,800.0,799.9999002501363,5.4223,799.9999999957566,5.422300526425859
3.34,800.0,799.999900252051,5.4223,799.9999999968185,5.4223005264255635
3.35,800.0,799.9999002535127,5.4223,799.9999999976144,5.4223005264253485
3.36,800.0,799.9999002546282,5.4223,799.9999999982113,5.422300526425185
3.37,800.0,799.9999002554796,5.4223,799.9999999986593,5.422300526425046
3.38,800.0,799.9999002561296,5.4223,799.9999999989947,5.422300526424956
3.39,800.0,799.9999002566258,5.4223,799.9999999992457,5.422300526424904
3.4,800.0,799.9999002570044,5.4223,799.9999999994347,5.4223005264248405
3.41,800.0,799.9999002572938,5.4223,799.9999999995763,5.422300526424798
3.42,800.0,799.9999002575142,5.4223,799.9999999996822,5.42230052642477
3.43,800.0,799.9999002576826,5.4223,799.9999999997615,5.422300526424757
3.44,800.0,799.9999002578113,5.4223,799.9999999998214,5.422300526424733
3.45,800.0,799.9999002579094,5.4223,799.9999999998658,5.422300526424729
3.46,800.0,799.999900257984,5.4223,799.9999999998993,5.422300526424724
3.47,800.0,799.9999002580416,5.4223,799.9999999999264,5.422300526424652
